Datetime,Adj Close,Close,High,Low,Open,Volume
2022-03-04,33614.80078125,33614.80078125,33655.4296875,33254.12109375,33655.4296875,408390000
2022-03-07,32817.37890625,32817.37890625,33579.75,32806.1484375,33579.75,488400000
2022-03-08,32632.640625,32632.640625,33402.98046875,32578.73046875,32885.171875,553750000
2022-03-09,33286.25,33286.25,33457.28125,32860.421875,32860.421875,418670000
2022-03-10,33174.0703125,33174.0703125,33236.58984375,32819.76171875,33106.76953125,399480000
2022-03-11,32944.19140625,32944.19140625,33515.609375,32911.890625,33279.71875,369480000
2022-03-14,32945.23828125,32945.23828125,33395.58984375,32818.16015625,33000.37109375,394940000
2022-03-15,33544.33984375,33544.33984375,33620.83984375,32989.26953125,32989.26953125,388810000
2022-03-16,34063.1015625,34063.1015625,34075.94140625,33391.23828125,33653.9296875,427400000
2022-03-17,34480.76171875,34480.76171875,34483.921875,33896.05859375,33995.390625,339470000
2022-03-18,34754.9296875,34754.9296875,34755.19921875,34279.828125,34466.71875,615420000
2022-03-21,34552.98828125,34552.98828125,34808.28125,34341.80859375,34669.8515625,408490000
2022-03-22,34807.4609375,34807.4609375,34882.03125,34583.23828125,34583.23828125,368550000
2022-03-23,34358.5,34358.5,34748.83984375,34352.9609375,34748.83984375,347880000
2022-03-24,34707.94140625,34707.94140625,34713.55859375,34355.421875,34406.80859375,324870000
2022-03-25,34861.23828125,34861.23828125,34942.69921875,34631.51953125,34702.390625,285440000
2022-03-28,34955.890625,34955.890625,34957.9296875,34552.23046875,34833.03125,299790000
2022-03-29,35294.19140625,35294.19140625,35372.26171875,35030.0703125,35114.3515625,355050000
2022-03-30,35228.80859375,35228.80859375,35361.359375,35058.578125,35273.62890625,317320000
2022-03-31,34678.3515625,34678.3515625,35201.51953125,34677.98828125,35201.51953125,433400000
2022-04-01,34818.26953125,34818.26953125,34847.91015625,34538.25,34740.890625,340400000
2022-04-04,34921.87890625,34921.87890625,34940.78125,34615.37890625,34799.98046875,316570000
2022-04-05,34641.1796875,34641.1796875,35112.2109375,34566.0390625,34876.328125,304010000
2022-04-06,34496.51171875,34496.51171875,34609.83984375,34277.171875,34520.33984375,386250000
2022-04-07,34583.5703125,34583.5703125,34705.828125,34190.94921875,34439.23828125,319870000
2022-04-08,34721.12109375,34721.12109375,34908.4609375,34470.19140625,34569.23828125,301750000
2022-04-11,34308.078125,34308.078125,34701.33984375,34272.2890625,34630.26953125,333290000
2022-04-12,34220.359375,34220.359375,34669.96875,34102.80859375,34412.51171875,333510000
2022-04-13,34564.58984375,34564.58984375,34598.359375,34140.640625,34166.640625,313630000
2022-04-14,34451.23046875,34451.23046875,34889.171875,34437.5,34628.4609375,353680000
2022-04-18,34411.69140625,34411.69140625,34618.2890625,34279.078125,34411.48828125,264110000
2022-04-19,34911.19921875,34911.19921875,34983.109375,34394.62109375,34394.62109375,296350000
